Feature,Coefficient,Abs
OverTime_Yes,1.9159419540876361,1.9159419540876361
BusinessTravel_Travel_Frequently,1.5308578038172842,1.5308578038172842
MaritalStatus_Single,1.0024670430774885,1.0024670430774885
JobRole_Laboratory Technician,0.8940031419980708,0.8940031419980708
JobRole_Research Director,-0.7353680964591847,0.7353680964591847
BusinessTravel_Travel_Rarely,0.680027589372982,0.680027589372982
YearsAtCompany,0.6676884493517482,0.6676884493517482
EducationField_Technical Degree,0.6653596986107577,0.6653596986107577
JobRole_Sales Representative,0.6648067717644063,0.6648067717644063
TotalWorkingYears,-0.6519384672944636,0.6519384672944636
YearsInCurrentRole,-0.6157920377451848,0.6157920377451848
EnvironmentSatisfaction,-0.5191493098304532,0.5191493098304532
EducationField_Marketing,0.5183336797393575,0.5183336797393575
YearsSinceLastPromotion,0.5076905513914766,0.5076905513914766
NumCompaniesWorked,0.4968787502480083,0.4968787502480083
JobInvolvement,-0.4476691053623142,0.4476691053623142
JobRole_Research Scientist,0.37642559882877846,0.37642559882877846
JobSatisfaction,-0.3729847642485627,0.3729847642485627
Age,-0.3660187484988339,0.3660187484988339
MaritalStatus_Married,0.35295626962787485,0.35295626962787485
YearsWithCurrManager,-0.320002702014639,0.320002702014639
Gender_Male,0.31877215787165375,0.31877215787165375
WorkLifeBalance,-0.3109360899460188,0.3109360899460188
DistanceFromHome,0.30477792490161804,0.30477792490161804
RelationshipSatisfaction,-0.30030520698564855,0.30030520698564855
Department_Research & Development,-0.2977334414220411,0.2977334414220411
JobRole_Manager,-0.29697520926113147,0.29697520926113147
JobRole_Sales Executive,-0.2930413783556212,0.2930413783556212
StockOptionLevel,-0.2919160181814338,0.2919160181814338
Department_Sales,0.2576045145209215,0.2576045145209215
TrainingTimesLastYear,-0.2463326081630532,0.2463326081630532
EducationField_Life Sciences,-0.204902487706164,0.204902487706164
JobRole_Human Resources,0.18774736414069693,0.18774736414069693
DailyRate,-0.14532277976758395,0.14532277976758395
EducationField_Medical,-0.11879592311477816,0.11879592311477816
PerformanceRating,-0.0906517081248787,0.0906517081248787
MonthlyRate,0.09006913811981397,0.09006913811981397
PercentSalaryHike,-0.07396585894218119,0.07396585894218119
JobLevel,0.06111115541515433,0.06111115541515433
JobRole_Manufacturing Director,-0.0604130376822739,0.0604130376822739
HourlyRate,-0.05628750710971912,0.05628750710971912
Education,-0.046128913815923225,0.046128913815923225
EducationField_Other,0.01540106734731464,0.01540106734731464
MonthlyIncome,0.0032192228141196917,0.0032192228141196917
